142.71503,746.34085,4.40683,3.46999,
168.56885,429.95539,1.84080,1.06057,
171.65993,840.52738,3.98946,3.53424,
169.54020,659.52995,3.15951,2.07910,
124.23503,291.65270,1.51780,1.10508,
108.72435,285.29126,1.79429,1.33462,
202.80963,851.54210,3.30822,2.84617,
175.90667,686.14636,3.03292,2.51132,
157.22425,971.25849,5.18112,5.16438,
148.67413,487.66803,2.43836,1.90917,
171.33008,815.56154,3.92454,3.13362,
110.90256,315.93507,2.02403,1.51135,
133.37908,541.76577,3.65429,1.08032,
184.33605,636.51466,2.93082,1.17133,
134.39626,358.28155,2.10304,0.84505,
171.70140,393.89843,1.53741,0.95114,
141.27826,641.61110,3.67246,3.07293,
127.98303,408.02293,2.49224,1.47932,
148.92739,918.02730,5.22315,4.86443,
209.58041,718.72435,2.61698,1.95871,
115.01182,273.07344,1.63068,0.99078,
179.13689,600.32370,2.58322,1.78181,
115.73403,320.54798,2.03237,1.27263,
120.42392,425.67607,2.81103,1.80030,
287.24801,660.34028,1.39902,1.18972,
176.86336,645.04661,2.73889,2.40729,
220.37557,512.97043,1.47157,1.27067,
271.18826,569.28225,1.30070,1.12167,
191.42454,703.97592,2.90817,2.13202,
138.23118,675.49742,3.92784,3.73011,
